id,pertanyaan,jawaban
1,Apa itu ARDRAXIS?,ARDRAXIS adalah kabinet OSIS SMA Ignatius Global School periode 2025/2026. Nama ARDRAXIS melambangkan semangat kepemimpinan inovasi dan pengabdian.
2,Siapa Ketua OSIS sekarang?,Ketua OSIS SMA Ignatius Global School periode 2025/2026 adalah Jessica Duangmun.
3,Berapa jumlah anggota OSIS ARDRAXIS?,Kabinet ARDRAXIS memiliki 98 anggota.
4,Apa tugas Ketua OSIS?,Ketua OSIS bertugas memimpin seluruh kegiatan dan jalannya organisasi OSIS, mengoordinasikan pengurus, mengambil keputusan strategis, mewakili OSIS dalam berbagai kegiatan resmi, serta memastikan seluruh program kerja terlaksana dengan baik.
5,Apa tugas Sekretaris?,Sekretaris bertugas mengelola administrasi OSIS, menyusun surat dan dokumen resmi, membuat notulen rapat, mengarsipkan dokumen organisasi, serta membantu memastikan administrasi setiap program kerja berjalan dengan tertib.
6,Apa tugas sekbid Multimedia Onfield?,Sekbid Multimedia Onfield bertanggung jawab atas seluruh kebutuhan multimedia dalam setiap kegiatan OSIS, termasuk pengoperasian kamera, camcorder, sound system, lighting, OBS, switcher, videotron, live streaming, serta dokumentasi teknis agar acara berjalan dengan lancar.
7,Apa tugas sekbid Multimedia Website?,Sekbid Multimedia Website bertanggung jawab atas pengembangan dan pengelolaan website resmi OSIS, pemeliharaan sistem dan database, pengembangan layanan digital seperti DRAX AI Assistant, pembaruan informasi, serta memastikan website aman, stabil, dan mudah diakses oleh seluruh warga IGS.
8,Apa tugas sekbid Dokumentasi?,
9,Apa tugas sekbid Desain?,
10,Apa tugas sekbid Kreatif?,
11,Apa tugas sekbid Ketuhanan Yang Maha Esa?,
12,Apa tugas sekbid Sosial?,
13,Apa tugas sekbid Environment?,
14,Apa tugas sekbid Governance?,
15,Apa tugas sekbid Komunikasi?,
16,Apa tugas sekbid Bahasa?,
17,Apa tugas sekbid Apresiasi Seni dan Olahraga?,
18,Apa tugas sekbid Ilustrator?,
19,Apa tugas sekbid Video Editor?,
20,Apa tugas sekbid Producer?,
21,Apa itu Top 3?,"Top 3 adalah Ketua OSIS (Jessica Duangmun), Wakil Ketua OSIS 1 (Rakha Aqila Astro), dan Wakil Ketua OSIS 2 (Sydnehy Venecia)."
22,Apa itu Talent Scouting?,Talent Scouting merupakan program mingguan OSIS SMA Ignatius Global School yang dilaksanakan setelah upacara. Acara ini bertujuan memberikan kesempatan kepada siswa untuk mengekspresikan bakat, kreativitas, dan kemampuan mereka melalui berbagai penampilan serta aktivitas interaktif.
